"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-07-01,2026-07-21,"AD 02 - PG",not_delivering,2026-02-24,2026-02-24,Contínuo,2,actions:omni_landing_page_view,0.18,6,Diário,0.36,77,76,1.013158,2,2.597403,0.18,4.675325,2
2026-07-01,2026-07-21,"AD 02 - tracker",not_delivering,2026-04-20,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 03 susuki scross",not_delivering,2026-04-20,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 01 Institucional Provenci",not_delivering,2025-05-05,2026-04-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 04 - ranger",not_delivering,2025-05-05,2026-04-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 01 Institucional Provenci — Cópia",not_delivering,2025-05-05,2026-04-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 0 2 - Duster Leon",not_delivering,2025-05-05,2026-04-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 0 3 Oroch Leon",not_delivering,2025-05-05,2026-04-23,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Institucional AD 01 video",not_delivering,2026-04-15,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - Institucional video",not_delivering,2026-04-22,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Institucional video",not_delivering,2025-05-02,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 Institucional - video",not_delivering,2026-01-21,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - Schafas Institucional video",not_delivering,2025-04-24,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD Institucional via mais video — Cópia",not_delivering,2025-06-06,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Escolher o carro certo",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"test drive Jair auto",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Escolher o carro certo",not_delivering,2026-05-14,2026-05-14,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Escolher o carro certo",not_delivering,2026-05-14,2026-05-14,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"test drive Jair auto",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"escolher carro",inactive,2026-05-12,2026-07-14,Contínuo,803,total_profile_visits,0.23305106,"Usando orçamento da campanha",0,187.14,15722,10937,1.437506,654,4.414197,0.269654,11.903066,61
2026-07-01,2026-07-21,"escolher carro",inactive,2026-05-14,2026-07-14,Contínuo,14,total_profile_visits,0.23928571,"Usando orçamento da campanha",0,3.35,260,248,1.048387,10,3.846154,0.335,12.884615,1
2026-07-01,2026-07-21,"Video institucional Tipave",not_delivering,2026-05-15,2026-05-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD04 Ranger 2025",not_delivering,2026-05-15,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - institucional video toso",not_delivering,2026-04-24,2026-05-15,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Duster 2026",inactive,2026-04-24,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Jeep 2024",not_delivering,2026-04-24,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"duelo de carros",inactive,2026-05-12,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"duelo de carros — Cópia",inactive,2026-05-14,2026-07-14,Contínuo,23,total_profile_visits,0.25608696,"Usando orçamento da campanha",0,5.89,531,480,1.10625,19,3.766478,0.2945,11.092279,
2026-07-01,2026-07-21,"AD01 Honda 2019",not_delivering,2026-05-29,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 maio",not_delivering,2026-02-10,2026-06-25,Contínuo,80,actions:omni_landing_page_view,0.44425,6,Diário,35.54,11788,8398,1.403668,128,1.153716,0.261324,3.01493,80
2026-07-01,2026-07-21,"VAD01 maio",not_delivering,2026-02-24,2026-05-29,Contínuo,29,actions:omni_landing_page_view,0.39137931,6,Diário,11.35,2976,2701,1.101814,39,1.377688,0.276829,3.813844,29
2026-07-01,2026-07-21,"VAD01 maio",not_delivering,2026-02-24,2026-05-29,Contínuo,19,actions:omni_landing_page_view,0.51052632,6,Diário,9.7,2162,1949,1.109287,31,1.757632,0.255263,4.486586,19
2026-07-01,2026-07-21,"VAD01 maio",not_delivering,2026-02-24,2026-05-29,Contínuo,54,actions:omni_landing_page_view,0.54296296,6,Diário,29.32,7866,5586,1.408163,78,1.055174,0.353253,3.727435,54
2026-07-01,2026-07-21,"AD03 maio",inactive,2026-04-10,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD04 maio",inactive,2026-04-10,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 maio",not_delivering,2026-05-14,2026-06-02,Contínuo,184,actions:omni_landing_page_view,0.29826087,"Usando orçamento da campanha",0,54.88,17053,11525,1.479653,279,1.659532,0.193922,3.218202,184
2026-07-01,2026-07-21,"VAD04 maio",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD04 maio",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 maio",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Tiggo 2025",not_delivering,2026-05-29,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Cruze 2023",inactive,2026-04-22,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Tracker 2015",not_delivering,2026-04-22,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Audi 2021",inactive,2026-04-22,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Virtus 2018",not_delivering,2026-04-22,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD01 Seleção ALV Autopower",not_delivering,2025-05-05,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Versa 2017",not_delivering,2025-05-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Hilux 2024",not_delivering,2025-04-24,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Tiggo 5X 2021",not_delivering,2025-04-24,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Kicks 2024",inactive,2026-01-28,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Civic 2018",inactive,2026-01-28,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD02 Hb20 2025",inactive,2025-06-05,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD07 BYD Song Pro 2025",inactive,2025-06-05,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Voyage 2023",not_delivering,2025-05-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD06 Tcross 2026",not_delivering,2025-05-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Nivus 2026",not_delivering,2025-05-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Boreal 2026",not_delivering,2025-05-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD04 Onix Plus 2025",not_delivering,2026-04-20,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Titano 2025",not_delivering,2026-04-20,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 208 2026",not_delivering,2026-04-15,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Kardian 2025",inactive,2026-01-22,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD04 ASX 2011",not_delivering,2026-01-22,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 208 2017",not_delivering,2026-01-22,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Hb20 2025",inactive,2026-01-21,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD04 Hilux 2020",not_delivering,2026-01-21,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Golf 2018",inactive,2026-01-21,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Hb20 2021",not_delivering,2025-04-23,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD04 2008 2017",inactive,2026-03-24,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Virtus 2025",inactive,2026-03-24,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 XC60 2013",not_delivering,2025-05-02,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD01 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD02 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD03 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD03 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD02 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD01 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Seleção ALV",inactive,2026-06-02,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Seleção ALV",archived,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Seleção ALV",inactive,2026-06-02,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD01 Seleção ALV",inactive,2026-06-02,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD02 Seleção ALV",inactive,2026-06-02,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD03 Seleção ALV",inactive,2026-06-02,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD02 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD02 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD01 Seleção ALV",inactive,2026-06-02,2026-06-05,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Dgongora Seleção Linha Verde",not_delivering,2026-04-22,2026-06-02,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"City Motors Seleção ALV",not_delivering,2026-04-22,2026-06-02,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL01 Seleção ALV",inactive,2026-05-14,2026-06-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL02 Seleção ALV",inactive,2026-05-14,2026-06-23,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL04 Seleção ALV",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL02 Seleção ALV",inactive,2026-05-14,2026-07-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL04 Seleção ALV",inactive,2026-05-14,2026-07-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL01 Seleção ALV",inactive,2026-05-14,2026-07-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 -PG",not_delivering,2026-02-24,2026-02-24,Contínuo,1,actions:omni_landing_page_view,0.63,6,Diário,0.63,153,150,1.02,2,1.30719,0.315,4.117647,1
2026-07-01,2026-07-21,"AD 01 - institucional",not_delivering,2026-04-20,2026-06-09,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 02 - Tiggo 7",inactive,2025-05-05,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 02 - Tiggo 7 — Cópia",inactive,2025-05-05,2026-06-08,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD01 Duster 2019",not_delivering,2025-05-05,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 01 Institucional Leon — Cópia",not_delivering,2025-05-05,2026-04-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - Schafas Institucional",not_delivering,2025-04-24,2026-04-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 01 -Institucional video",not_delivering,2025-05-05,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - institucional video",inactive,2026-04-20,2026-06-09,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Institucional - Carros Premium video",not_delivering,2025-05-27,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Ad 1 - Institucional video",not_delivering,2025-04-23,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - institucional 2 video",not_delivering,2026-03-24,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD Institucional via mais video",not_delivering,2025-06-05,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"test drive Jair auto",inactive,2026-04-10,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Escolher o carro certo",inactive,2026-04-10,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"test drive Jair auto",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL01 Seleção ALV",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL04 Seleção ALV",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL01 Seleção ALV",inactive,2026-05-14,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL03 Seleção ALV",inactive,2026-05-14,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL02 Seleção ALV",inactive,2026-05-12,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL01 Seleção ALV",inactive,2026-05-12,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL04 Seleção ALV",inactive,2026-05-12,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CRSL03 Seleção ALV",inactive,2026-05-12,2026-06-25,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"VAD01 Seleção ALV Toso",not_delivering,2026-04-24,2026-06-03,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - Geral video",not_delivering,2026-02-24,2026-02-24,Contínuo,,,,6,Diário,0.27,66,63,1.047619,,,,4.090909,
2026-07-01,2026-07-21,"AD 01 - Geral video — Cópia",not_delivering,2026-02-24,2026-02-24,Contínuo,,,,6,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - Geral video — Cópia",not_delivering,2026-02-24,2026-02-24,Contínuo,,,,6,Diário,0.48,102,100,1.02,,,,4.705882,
2026-07-01,2026-07-21,"AD 01 - video institucional",not_delivering,2026-01-21,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Hb20 2022",not_delivering,2025-04-24,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - Institucional Auto Power - video",not_delivering,2025-05-05,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD 01 - institucional video",not_delivering,2026-03-24,2026-04-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Nissan sentra - jairauto",inactive,2026-05-12,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Nissan sentra - jairauto",inactive,2026-05-14,2026-06-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"AD03 Kardian 2025",not_delivering,2026-05-15,2026-06-01,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
